"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2024","21,875.79","21,973.10","22,050.29","21,807.34","276.28M","-0.30%"
"06/27/2024","21,942.16","21,798.38","21,956.71","21,798.38","171.01M","0.68%"
"06/26/2024","21,793.90","21,724.88","21,807.67","21,680.82","193.99M","0.02%"
"06/25/2024","21,788.48","21,834.25","21,834.25","21,704.74","204.19M","-0.28%"
"06/24/2024","21,848.59","21,585.30","21,866.93","21,585.30","258.18M","1.36%"
"06/21/2024","21,554.86","21,575.99","21,586.39","21,499.57","673.56M","-0.12%"
"06/20/2024","21,581.35","21,520.41","21,662.39","21,520.41","274.65M","0.30%"
"06/19/2024","21,516.90","21,591.79","21,642.02","21,491.59","95.80M","-0.44%"
"06/18/2024","21,611.30","21,568.99","21,708.06","21,567.00","222.24M","0.11%"
"06/17/2024","21,587.88","21,584.27","21,604.09","21,466.60","283.55M","-0.24%"
"06/14/2024","21,639.10","21,667.14","21,667.14","21,486.83","224.35M","-0.27%"
"06/13/2024","21,698.11","21,930.76","21,930.76","21,680.06","239.76M","-1.20%"
"06/12/2024","21,961.55","21,986.32","22,127.72","21,933.31","244.26M","0.34%"
"06/11/2024","21,887.34","22,011.14","22,011.14","21,842.90","219.59M","-0.83%"
"06/10/2024","22,069.76","21,992.69","22,105.69","21,953.44","228.00M","0.29%"
"06/07/2024","22,007.00","22,139.12","22,144.29","22,002.68","238.34M","-1.00%"
"06/06/2024","22,229.10","22,125.47","22,234.97","22,125.47","198.21M","0.38%"
"06/05/2024","22,145.02","22,028.34","22,180.25","22,028.34","216.73M","0.76%"
"06/04/2024","21,978.18","22,059.94","22,059.94","21,828.40","223.80M","-0.63%"
"06/03/2024","22,116.69","22,262.05","22,312.13","22,014.86","272.25M","-0.68%"
"05/31/2024","22,269.12","22,102.84","22,271.16","21,966.17","373.40M","0.89%"
"05/30/2024","22,071.71","21,915.30","22,108.76","21,915.30","205.98M","0.79%"
"05/29/2024","21,897.98","22,170.16","22,170.16","21,896.66","232.69M","-1.65%"
"05/28/2024","22,265.05","22,346.93","22,346.93","22,209.30","231.95M","-0.48%"
"05/27/2024","22,373.38","22,337.32","22,388.91","22,337.32","81.36M","0.24%"
"05/24/2024","22,320.87","22,220.32","22,354.81","22,220.32","200.50M","0.54%"
"05/23/2024","22,200.79","22,376.70","22,421.10","22,134.74","240.36M","-0.65%"
"05/22/2024","22,346.76","22,434.12","22,439.11","22,283.49","234.24M","-0.54%"
"05/21/2024","22,468.16","22,436.40","22,554.98","22,416.01","264.64M","0.01%"
"05/17/2024","22,465.37","22,326.03","22,468.62","22,301.06","243.63M","0.74%"
"05/16/2024","22,299.83","22,288.82","22,330.02","22,260.71","191.36M","0.07%"
"05/15/2024","22,284.76","22,276.96","22,334.69","22,214.61","221.12M","0.19%"
"05/14/2024","22,243.34","22,270.97","22,309.03","22,182.88","224.38M","-0.07%"
"05/13/2024","22,259.17","22,323.16","22,370.68","22,238.33","207.79M","-0.22%"
"05/10/2024","22,308.93","22,395.77","22,470.27","22,298.67","242.18M","-0.30%"
"05/09/2024","22,375.83","22,287.01","22,426.97","22,287.01","207.37M","0.52%"
"05/08/2024","22,259.16","22,089.56","22,262.01","22,048.94","220.85M","-0.14%"
"05/07/2024","22,290.62","22,279.49","22,347.39","22,261.01","190.10M","0.14%"
"05/06/2024","22,259.47","21,988.83","22,261.72","21,988.83","234.30M","1.42%"
"05/03/2024","21,947.41","21,909.55","21,983.45","21,859.69","228.99M","0.57%"
"05/02/2024","21,823.22","21,780.83","21,889.26","21,682.39","221.85M","0.44%"
"05/01/2024","21,728.55","21,692.03","21,911.32","21,623.71","241.50M","0.06%"
"04/30/2024","21,714.54","21,941.01","21,958.48","21,714.54","253.69M","-1.35%"
"04/29/2024","22,011.62","22,009.01","22,052.06","21,903.05","215.07M","0.19%"
"04/26/2024","21,969.24","21,907.48","21,997.95","21,907.48","180.27M","0.38%"
"04/25/2024","21,885.38","21,805.05","21,920.15","21,638.37","215.41M","0.05%"
"04/24/2024","21,873.72","21,995.46","22,028.65","21,796.88","194.07M","-0.63%"
"04/23/2024","22,011.72","21,884.58","22,051.15","21,854.19","219.02M","0.64%"
"04/22/2024","21,871.96","21,791.37","21,930.89","21,733.79","251.75M","0.30%"
"04/19/2024","21,807.37","21,710.23","21,871.49","21,679.80","216.77M","0.46%"
"04/18/2024","21,708.44","21,676.26","21,799.35","21,601.59","208.48M","0.24%"
"04/17/2024","21,656.05","21,686.59","21,824.29","21,568.63","210.38M","0.06%"
"04/16/2024","21,642.87","21,717.43","21,726.15","21,536.09","228.68M","-0.45%"
"04/15/2024","21,740.20","21,952.67","22,025.04","21,678.64","228.34M","-0.73%"
"04/12/2024","21,899.99","22,114.82","22,208.29","21,827.35","236.96M","-0.95%"
"04/11/2024","22,110.11","22,206.59","22,221.84","21,985.68","228.79M","-0.40%"
"04/10/2024","22,199.13","22,272.71","22,272.71","22,099.19","242.57M","-0.73%"
"04/09/2024","22,361.78","22,294.46","22,380.16","22,168.64","204.40M","0.46%"
"04/08/2024","22,260.30","22,264.29","22,309.69","22,178.67","198.70M","-0.02%"
"04/05/2024","22,264.38","22,077.65","22,316.92","22,076.98","226.86M","0.96%"
"04/04/2024","22,051.79","22,156.29","22,239.05","22,000.98","243.71M","-0.27%"
"04/03/2024","22,112.46","22,063.34","22,173.60","22,062.72","244.08M","0.17%"
"04/02/2024","22,075.10","22,127.65","22,127.65","21,996.91","239.99M","-0.50%"
"04/01/2024","22,185.25","22,186.52","22,204.74","22,110.60","207.43M","0.08%"
"03/28/2024","22,167.03","22,126.00","22,220.91","22,126.00","245.10M","0.27%"
"03/27/2024","22,107.08","21,960.39","22,107.08","21,953.51","208.10M","0.89%"
"03/26/2024","21,912.52","21,960.06","22,037.66","21,906.24","241.14M","-0.14%"
"03/25/2024","21,942.28","21,968.61","22,069.13","21,940.99","205.32M","-0.19%"
"03/22/2024","21,984.08","22,090.53","22,123.09","21,964.98","186.01M","-0.47%"
"03/21/2024","22,087.26","22,063.05","22,197.06","22,063.05","240.42M","0.19%"
"03/20/2024","22,045.71","21,847.14","22,065.90","21,837.91","234.23M","0.85%"
"03/19/2024","21,860.58","21,842.43","21,931.38","21,832.73","203.25M","0.11%"
"03/18/2024","21,837.18","21,874.61","21,874.61","21,810.40","233.45M","-0.05%"
"03/15/2024","21,849.15","21,808.78","21,893.88","21,788.67","601.87M","0.09%"
"03/14/2024","21,829.85","21,954.83","21,954.83","21,737.51","281.74M","-0.64%"
"03/13/2024","21,970.11","21,838.07","22,008.64","21,838.07","268.15M","0.64%"
"03/12/2024","21,831.02","21,786.06","21,840.59","21,716.44","212.99M","0.28%"
"03/11/2024","21,769.22","21,697.49","21,781.52","21,633.91","200.19M","0.15%"
"03/08/2024","21,737.53","21,814.95","21,892.06","21,694.10","230.38M","-0.26%"
"03/07/2024","21,794.56","21,629.05","21,799.52","21,629.05","193.76M","0.93%"
"03/06/2024","21,593.96","21,580.56","21,712.73","21,546.58","205.46M","0.32%"
"03/05/2024","21,525.93","21,517.91","21,622.99","21,489.69","261.29M","-0.02%"
"03/04/2024","21,531.07","21,546.53","21,584.57","21,491.34","224.64M","-0.10%"
"03/01/2024","21,552.35","21,394.23","21,605.00","21,394.23","258.84M","0.88%"
"02/29/2024","21,363.61","21,298.98","21,382.32","21,287.06","465.80M","0.56%"
"02/28/2024","21,243.77","21,296.85","21,329.45","21,239.87","169.90M","-0.35%"
"02/27/2024","21,318.90","21,304.34","21,346.43","21,264.50","224.62M","-0.03%"
"02/26/2024","21,324.31","21,391.67","21,449.92","21,300.80","228.85M","-0.41%"
"02/23/2024","21,413.15","21,314.63","21,440.41","21,274.41","221.39M","0.45%"
"02/22/2024","21,318.08","21,259.99","21,365.35","21,259.99","228.94M","0.69%"
"02/21/2024","21,172.38","21,177.69","21,197.40","21,100.67","205.21M","-0.21%"
"02/20/2024","21,217.53","21,216.17","21,288.34","21,183.54","238.68M","-0.18%"
"02/16/2024","21,255.61","21,206.39","21,323.98","21,197.25","195.64M","0.16%"
"02/15/2024","21,222.69","20,919.86","21,236.17","20,919.86","232.05M","1.60%"
"02/14/2024","20,889.40","20,664.72","20,890.11","20,664.72","199.37M","1.48%"
"02/13/2024","20,584.97","20,861.50","20,861.50","20,466.50","236.18M","-2.29%"
"02/12/2024","21,067.30","21,011.93","21,145.82","21,011.93","188.52M","0.27%"
"02/09/2024","21,009.60","20,942.45","21,028.35","20,891.13","155.28M","0.43%"
"02/08/2024","20,919.64","20,926.89","20,989.83","20,794.59","195.80M","-0.24%"
"02/07/2024","20,969.18","20,961.59","20,990.69","20,900.94","160.63M","0.05%"
"02/06/2024","20,957.74","20,876.77","20,978.88","20,869.60","151.66M","0.41%"
"02/05/2024","20,871.89","21,053.51","21,053.51","20,825.62","199.40M","-1.01%"
"02/02/2024","21,085.09","21,128.09","21,128.09","20,943.08","181.11M","-0.16%"
"02/01/2024","21,119.21","21,065.45","21,189.26","20,980.93","186.25M","0.46%"
"01/31/2024","21,021.88","21,204.87","21,250.90","21,014.17","222.24M","-0.97%"
"01/30/2024","21,227.87","21,187.85","21,250.47","21,104.04","167.59M","0.13%"
"01/29/2024","21,200.06","21,106.39","21,213.02","21,014.98","188.33M","0.35%"
"01/26/2024","21,125.28","21,084.98","21,142.31","21,079.90","150.91M","0.11%"
"01/25/2024","21,101.54","21,058.81","21,120.70","21,021.82","177.38M","0.36%"
"01/24/2024","21,025.78","21,083.56","21,161.22","21,019.37","221.08M","-0.04%"
"01/23/2024","21,034.59","20,939.55","21,042.85","20,939.55","173.53M","0.53%"
"01/22/2024","20,924.30","20,930.93","20,975.28","20,847.14","193.40M","0.09%"
"01/19/2024","20,906.52","20,763.20","20,909.13","20,676.51","208.80M","0.72%"
"01/18/2024","20,756.73","20,725.88","20,782.26","20,659.03","192.48M","0.30%"
"01/17/2024","20,695.02","20,847.63","20,847.63","20,594.20","211.74M","-1.21%"
"01/16/2024","20,948.09","20,998.74","21,006.14","20,842.98","217.22M","-0.54%"
"01/15/2024","21,061.88","20,966.90","21,073.56","20,932.47","83.46M","0.34%"
"01/12/2024","20,990.22","20,965.70","21,140.88","20,957.19","212.93M","0.34%"
"01/11/2024","20,918.40","20,992.65","21,023.36","20,773.14","195.34M","-0.34%"
"01/10/2024","20,989.42","20,965.03","21,030.59","20,965.03","178.60M","0.09%"
"01/09/2024","20,970.98","21,023.53","21,023.53","20,880.43","194.68M","-0.49%"
"01/08/2024","21,074.91","20,917.32","21,076.44","20,875.22","200.47M","0.66%"
"01/05/2024","20,937.55","20,850.72","21,014.76","20,839.34","167.51M","0.32%"
"01/04/2024","20,871.35","20,820.53","20,949.28","20,793.57","176.42M","0.25%"
"01/03/2024","20,818.58","20,803.96","20,892.06","20,707.90","191.33M","-0.26%"
"01/02/2024","20,872.14","20,904.25","20,937.22","20,823.62","211.25M","-0.41%"
"12/29/2023","20,958.44","20,921.39","20,965.89","20,860.31","135.14M","0.14%"
"12/28/2023","20,929.38","20,975.97","21,022.77","20,914.54","149.85M","-0.41%"
